horizon,linear_regression,lstm,naive_baseline,random_forest
1,384.656250593478,598.8295319689851,376.7587755660115,474.07782560813536
3,684.0274310571599,814.3165209799996,655.8081897734244,797.5266549799645
7,1040.1789417709326,1114.4797321303665,977.8897698573016,1317.8207766971473
